Country / Region,"Last updated
",Count for DPI,Claim of digital ID,Digital ID name,URL,Collects or uses biometric data,Status of implementation,ID or Civil Registry Act,Regulation for digital ID,Digital authentication function,Enables KYC packet collection,Authentication through government portal,Codified digital ID legal status,Governing entity,Type of governing entity,Court oversight on digital ID system,Accountability of ID executors to authority,Legally binding redress mechanism,Terms of data storage and sharing available,National Data Protection Act,Procedural rules for digital ID enrolment,Data leak disclosure process,ID data handling terms,Relationship with feeder documents,Two or more sectoral use cases enabled,Funding organizations identified,Technical support organizations identified
Algeria,01/10/24,1,Yes,National Electronic Biometric Identity Card (CNIBE),https://macnibe.interieur.gov.dz/WFDefaultFr.aspx,Yes,Implemented,Yes,No,Yes,Yes,NA,No,"Ministry of the Interior, Local Authorities and Territorial Planning",Security and Protection,No,No,NA,No,Yes,No,Yes,No,No,Yes,NA,Thales
Angola,03/09/25,0,No,Identity Card,https://consuladogeral-angola.pt/servicos/bilhete-de-identidade/,No,NA,Yes,No,No,No,No,No,NA,NA,No,No,NA,No,Yes,No,No,No,No,NA,NA,NA
Benin,03/09/25,0,Yes,Mobile ID Bénin,https://play.google.com/store/apps/details?id=bj.gouv.mobileid&hl=fr&gl=US,Yes,Implemented,NA,Yes,Yes,Yes,Yes,Yes,Benin's National Agency for the Identification of Persons (ANIP),ID or Registration Authority,Yes,Yes,Customer service mechanism,Yes,Yes,Yes,Yes,Yes,No,NA,World Bank,NA
Botswana,01/10/24,0,No,Omang,https://www.gov.bw/civil-registration/national-identity-card-application,No,NA,Yes,No,No,No,No,No,National Identification System,ID or Registration Authority,No,No,NA,No,Yes,No,Yes,No,No,No,World Bank,NA
Burkina Faso,01/10/24,0,Yes,NA,NA,NA,Planned/Piloted,No,No,NA,NA,NA,No,Office of National Identification (ONI),ID or Registration Authority,No,No,NA,No,Yes,No,No,No,No,NA,World Bank,"MOSIP, ID4D"
Burundi,01/10/24,0,No,NA,NA,No,Planned/Piloted,No,No,No,No,No,No,NA,NA,No,No,NA,No,No,No,No,No,No,No,NA,NA
Cabo Verde,01/10/24,0,Yes,Sistema Nacional de Identifticação e Autenticação Civil,https://sniac.cv/,Yes,Implemented,Yes,Yes,Yes,NA,No,Yes,National Civil Identification and Authentication System (SNIAC),ID or Registration Authority,Yes,Yes,Customer service mechanism,Yes,Yes,Yes,Yes,Yes,Yes,No,NA,NA
Cameroon,01/10/24,0,Yes,National digital identity,NA,NA,Planned/Piloted,NA,NA,NA,NA,NA,NA,General Delegation for National Security (DGSN),Security and Protection,NA,NA,NA,NA,No,NA,No,NA,NA,NA,NA,Thales
Central African Republic,01/10/24,0,NA,NA,NA,No,NA,Yes,No,NA,NA,NA,No,NA,NA,No,No,NA,No,No,No,No,No,No,No,NA,Securiport
Chad,01/10/24,0,Yes,Système National d’Identité Digitale (SNID),NA,No,NA,No,No,No,No,No,No,NA,NA,No,No,NA,No,Yes,No,Yes,No,No,No,"Groupe de la Banque africaine de développement (BAD), European Union (EU)",NA
Comoros,01/10/24,0,No,NA,NA,No,NA,No,No,No,No,No,No,NA,NA,No,No,NA,No,No,No,No,No,No,No,NA,NA
