id,indicator
"1.1","Semantic interoperability within the DES is facilitated through either policy or technical means"
"1.2","Data is shared in (near) real-time through the DES"
"1.3","Technology architecture of the DES is scalable"
"1.4","Data exchange has a federation capability"
"2.1","A public-interest entity governs the development and operations of the DES"
"2.2","Use of the DES is subject to transparent enrollment and participation conditions"
"2.3","Data exchange instances within the DES can be monitored in public-interest"
"2.4","Data exchange governance is regularly reviewed and reported on"
"2.5","Data exchange governance is informed by a multi-stakeholder group of representatives (especially from civil society, domain experts)"
"3.1","Procedural rules for the DES (access restrictions, protections, etc.) are established"
"3.2","Personal data on the exchange is protected by law"
"3.3","Data and system security standards are publicly disclosed"
"3.4","Data exchange is regularly reviewed for data protection and cyber resilience"
"4.1","Data exchange across government is implemented by a coordination unit"
"4.2","Strategy for skills training and retention is established"
"4.3","Budget for management of the data exchange is dedicated, reliable, sufficient"
"5.1","Public entities (other than the operator of the DES) leverage the data exchange"
"5.2","Data exchange is cross-sectoral"
"5.3","Private entities leverage the data exchange"
"5.4","Civil society entities leverage the data exchange"
