id,indicator
"1.1","Individuals can authenticate themselves or their documents digitally"
"1.2","Policy preference for a government-wide digital and interoperable ID system exists"
"1.3","Vision and strategy of the interoperability of the ID system as DPI conveyed transparently"
"1.4","Documentation for services to use ID system architecture is publicly disclosed"
"1.5","Procurement guidelines for technical vendors specify interoperability through data, standards, APIs"
"1.6","Technical standards and specifications of the ID system are compliant with international standards"
"2.1","The ID serves as a legal proof of an individual’s identity accountability and"
"2.2","Institutional governance structure and its accountability are established"
"2.3","ID authority is subject to general oversight of the courts"
"2.4","Accountability of the ID executors to the ID authority is established"
"2.5","Legally-binding redressal framework for ID-related malpractice is established"
"2.6","Procedural rules for collection, storage and sharing of personal data related to ID system are established"
"2.7","Government exceptions for using ID system and its data for national security, public order or other government interests are codified in law"
"2.8","Credentials issued by the DID are treated as legal proof of the elements recorded by the ID"
"2.9","Accountability of institutions recording personal data and their responsibility for digitalisation are established"
"2.10","ID system and its operations are under the purview of relevant Freedom of Information Laws, towards addressing corruption"
"2.11","ID system is informed by a multi-stakeholder group of representatives (especially from civil society, domain experts)"
"2.12","ID authority performance and ID system governance is regularly reviewed and reported"
"3.1","Personal data linked to the ID is under the purview of the DPA and protected by law"
"3.2","Procedural rules for the ID (enrolment, data processing, issuing credentials, etc.) are established"
"3.3","There exists a process to notify individuals and general public about personal data related to ID system leaks or threats"
"3.4","ID-related personal data collection, processing and sharing is based on individual consent"
"3.5","Data protection authority regulates ID data collected and shared by the ID Authority and executors"
"3.6","Data and system security standards are publicly disclosed"
"3.7","ID system data and cyber resilience are regularly reviewed and strengthened"
"4.1","Processes to access, review, edit and delete one's ID data are transparent"
"4.2","Enrolment in DID is possible without discrimination"
"4.3","DID is not the only legal document to serve as a credential for accessing basic human rights"
"4.4","Cost of enrolling for the DID is affordable"
"4.5","DID is designed with inclusive access features"
"5.1","Processes to leverage the ID system across all levels of government are established"
"5.2","Budget for management of identification is dedicated, reliable and sufficient."
"5.3","Strategy for skills training and retention is established"
"5.4","DID use across government is facilitated through a coordination body"
"6.1","Public entities (that are not the same as the architect of the ID layer) use the ID infrastructure"
"6.2","ID infrastructure is used across more than 1 sector"
"6.3","Private entities use the ID infrastructure"
"6.4","Civil society actors use the ID infrastructure"
